Cenário de Agência,Opção de Deploy,Custo Total (R$),Custo Total Mínimo (R$),Custo Total Médio (R$),Custo Total Máximo (R$),Custo ASR (R$),Custo Input Tokens (R$),Custo Output Tokens (R$),Tamanho Banco de Dados Relacional (GB)
Brasil (M1: Média Ponderada) (Anual),SerproLLM: Speech Service e gemma-3-12b,2470699.76 +/- 196010.66,2274689.1,2470699.76,2666710.42,1370882.09,701422.21 +/- 144577.13,398395.45 +/- 132354.19,1866.81 +/- 484.14
Brasil (M1: Média Ponderada) (Anual),SerproLLM: Speech Service e gemma-4-31b,3565542.81 +/- 443598.13,3121944.68,3565542.81,4009140.94,1370882.09,1018337.52 +/- 209899.71,1176323.2 +/- 390795.88,1866.81 +/- 484.14
Brasil (M1: Média Ponderada) (Anual),SerproLLM: Speech Service e mistral-small-3.2-24b-instruct,3783896.43 +/- 451081.57,3332814.86,3783896.43,4234978.0,1370882.09,1339078.77 +/- 276010.89,1073935.57 +/- 356780.85,1866.81 +/- 484.14
Brasil (M1: Média Ponderada) (Anual),SerproLLM: Speech Service e gpt-oss-120b,5357201.27 +/- 794152.72,4563048.55,5357201.27,6151353.99,1370882.09,1910419.05 +/- 393775.54,2075900.13 +/- 689651.63,1866.81 +/- 484.14
Brasil (M1: Média Ponderada) (Anual),APIs GCP: Chirp3 e gemini-2.5-flash,7974995.57 +/- 1491689.26,6483306.31,7974995.57,9466684.83,1731640.54,1912969.67 +/- 394301.27,4330385.36 +/- 1438632.46,1866.81 +/- 484.14
Brasil (M1: Média Ponderada) (Anual),APIs GCP: Chirp3 e gemini-3.5-flash-lite,7974995.57 +/- 1491689.26,6483306.31,7974995.57,9466684.83,1731640.54,1912969.67 +/- 394301.27,4330385.36 +/- 1438632.46,1866.81 +/- 484.14
Brasil (M1: Média Ponderada) (Anual),SerproLLM: Speech Service e qwen3.6-35b,9615344.04 +/- 1812734.15,7802609.89,9615344.04,11428078.19,1370882.09,3150023.39 +/- 649282.76,5094438.55 +/- 1692464.77,1866.81 +/- 484.14
Brasil (M1: Média Ponderada) (Anual),APIs GCP: Chirp3 e gemini-3.8-flash,24287644.98 +/- 4744871.7,19542773.28,24287644.98,29032516.68,1731640.54,9564848.36 +/- 1971506.36,12991156.08 +/- 4315897.37,1866.81 +/- 484.14
Brasil (M1: Média Ponderada) (Mensal),SerproLLM: Speech Service e gemma-3-12b,205891.63 +/- 16334.22,189557.41,205891.63,222225.85,114240.15,58451.85 +/- 12048.09,33199.62 +/- 11029.52,155.57 +/- 40.34
Brasil (M1: Média Ponderada) (Mensal),SerproLLM: Speech Service e gemma-4-31b,297128.55 +/- 36966.51,260162.04,297128.55,334095.06,114240.15,84861.46 +/- 17491.64,98026.93 +/- 32566.32,155.57 +/- 40.34
