Cenário de Agência,Opção de Deploy,Custo Total (milhões de R$),Custo Total (R$),Tamanho Banco de Dados Relacional (GB),Custo Total Mínimo (R$),Custo Total Médio (R$),Custo Total Máximo (R$),Custo ASR (R$),Custo Input Tokens (R$),Custo Output Tokens (R$),Milhões de Tokens por segundo (Input),Milhões de Tokens por segundo (Output)
Brasil (M1: Média Ponderada) (Anual),SerproLLM: Speech Service e gemma-3-12b,2.47 +/- 0.2,2470699.76 +/- 196010.66,1866.81 +/- 484.14,2274689.1,2470699.76,2666710.42,1370882.09,701422.21 +/- 144577.13,398395.45 +/- 132354.19,0.0396 +/- 0.0082,0.0108 +/- 0.0036
Brasil (M1: Média Ponderada) (Anual),SerproLLM: Speech Service e gemma-4-31b,3.57 +/- 0.44,3565542.81 +/- 443598.13,1866.81 +/- 484.14,3121944.68,3565542.81,4009140.94,1370882.09,1018337.52 +/- 209899.71,1176323.2 +/- 390795.88,0.0396 +/- 0.0082,0.0108 +/- 0.0036
Brasil (M1: Média Ponderada) (Anual),SerproLLM: Speech Service e mistral-small-3.2-24b-instruct,3.78 +/- 0.45,3783896.43 +/- 451081.57,1866.81 +/- 484.14,3332814.86,3783896.43,4234978.0,1370882.09,1339078.77 +/- 276010.89,1073935.57 +/- 356780.85,0.0396 +/- 0.0082,0.0108 +/- 0.0036
Brasil (M1: Média Ponderada) (Anual),SerproLLM: Speech Service e gpt-oss-120b,5.36 +/- 0.79,5357201.27 +/- 794152.72,1866.81 +/- 484.14,4563048.55,5357201.27,6151353.99,1370882.09,1910419.05 +/- 393775.54,2075900.13 +/- 689651.63,0.0396 +/- 0.0082,0.0108 +/- 0.0036
Brasil (M1: Média Ponderada) (Anual),APIS MS Azure: Fast-Transcribe e GPT-5.6-luna,5.95 +/- 0.74,5951358.89 +/- 738884.14,1866.81 +/- 484.14,5212474.75,5951358.89,6690243.03,2597460.8,1275313.11 +/- 262867.51,2078584.97 +/- 690543.58,0.0396 +/- 0.0082,0.0108 +/- 0.0036
Brasil (M1: Média Ponderada) (Anual),APIS MS Azure: Fast-Transcribe e GPT-5-mini,7.66 +/- 1.2,7655910.49 +/- 1196892.75,1866.81 +/- 484.14,6459017.74,7655910.49,8852803.24,2597460.8,1594141.39 +/- 328584.39,3464308.29 +/- 1150905.97,0.0396 +/- 0.0082,0.0108 +/- 0.0036
Brasil (M1: Média Ponderada) (Anual),APIs GCP: Chirp3 e gemini-2.5-flash,7.97 +/- 1.49,7974995.57 +/- 1491689.26,1866.81 +/- 484.14,6483306.31,7974995.57,9466684.83,1731640.54,1912969.67 +/- 394301.27,4330385.36 +/- 1438632.46,0.0396 +/- 0.0082,0.0108 +/- 0.0036
Brasil (M1: Média Ponderada) (Anual),APIs GCP: Chirp3 e gemini-3.5-flash-lite,7.97 +/- 1.49,7974995.57 +/- 1491689.26,1866.81 +/- 484.14,6483306.31,7974995.57,9466684.83,1731640.54,1912969.67 +/- 394301.27,4330385.36 +/- 1438632.46,0.0396 +/- 0.0082,0.0108 +/- 0.0036
Brasil (M1: Média Ponderada) (Anual),SerproLLM: Speech Service e qwen3.6-35b,9.62 +/- 1.81,9615344.04 +/- 1812734.15,1866.81 +/- 484.14,7802609.89,9615344.04,11428078.19,1370882.09,3150023.39 +/- 649282.76,5094438.55 +/- 1692464.77,0.0396 +/- 0.0082,0.0108 +/- 0.0036
Brasil (M1: Média Ponderada) (Anual),APIs GCP: Chirp3 e gemini-3.8-flash,24.29 +/- 4.74,24287644.98 +/- 4744871.7,1866.81 +/- 484.14,19542773.28,24287644.98,29032516.68,1731640.54,9564848.36 +/- 1971506.36,12991156.08 +/- 4315897.37,0.0396 +/- 0.0082,0.0108 +/- 0.0036
Brasil (M1: Média Ponderada) (Anual),APIS MS Azure: Fast-Transcribe e GPT-5-chat,27.89 +/- 5.98,27889709.22 +/- 5984463.73,1866.81 +/- 484.14,21905245.49,27889709.22,33874172.95,2597460.8,7970706.97 +/- 1642921.97,17321541.45 +/- 5754529.83,0.0396 +/- 0.0082,0.0108 +/- 0.0036
